name|description|short_description|importance|howToProceed|examples|background
"Data in the Classroom|Using big data and data analytics, researchers can visualise complex concepts as interactive graphs, charts and maps. This can serve as dynamic yet accessible learning collateral for students to use in and outside the classroom. By unifying large amounts of data, the students can also discern new relationships and reach new conclusions.|Using big data and data analytics, researchers can visualise complex concepts as interactive graphs, charts and maps. This can s|Academics are seeking new ways of engaging students while sharing knowledge, recognising the need for science communication. Data science in the classroom is one of the key tools that can enable this, and there are currently several activities at the University to support this emerging requirement, and data science is making its way into diverse curriculum.|By providing rapidly evolving toolsets for data visualisation and data science, we can help faculties and students that lack the capability for data science. We should also nurture multidisciplinary approaches to the challenges faced by our students in understanding and communicating science.|Vizkit, Dataviz Course SiT, supporting Hadoop clusters, Phil's Datascience Course.|data_in_the_classroom.jpg"
"Affective Computing|New systems and devices will help us recognise, interpret, process and simulate human affects. This will enable us to sense the emotional state of users by measuring changes in heart rate and galvanic skin response, body temperature, posture and gestures, verbal content, the rhythm of their keystrokes and facial expressions.|New systems and devices will help us recognise, interpret, process and simulate human affects. This will enable us to sense the |Affective computing can be invaluable for tailoring the presentation style of a computerised tutor to the learner, whether they are disengaged, interested, frustrated or amused. In particular, there is interest among educators in the area of distance education, with the goal being able to determine what will keep remote students engaged.|This emerging technology is appearing in small scale projects at the University. New partnerships and continued research in affective computing will help develop online computer-based learning environments to a degree where they can respond seamlessly to a learner's needs.|Brain Computer Interface, MIDEA course, Central park, Neuropharma, Ontask|affective_computing.jpg"
"E-textbooks|While fundamentally a digital copy of physical learning materials, this subset of the Ebook format leverages the benefits of technology to support the source's intentions and enhance the learning experience. Benefits unique to e-textbooks include personalised learning, status tracking and interactive modules.|While fundamentally a digital copy of physical learning materials, this subset of the Ebook format leverages the benefits of tec|Providing fundamental knowledge continues to be imperative, but the static physical format stands out in an increasingly connected learning experience. E-textbooks are versatile and provide functional advantages including search, personal highlighting, annotation, linking, accessibility for visually impaired students, and use of interactive media.|Many universities have begun the basic process of digitising course material. However, in order to support the high fidelity digital content that can supplement or replace textbooks, we need to provide robust and adaptive infrastructure as well as the tools required by academics to deliver these new types of student experience.|No examples|etextbooks.jpg"
"Competency Based Learning|This emerging approach to teaching and learning emphasises the obtaining of concrete skills over abstract learning. Rather than a course or a module, every individual skill and learning outcome (known as a competency) constitutes a single unit. Learners work on one competency at a time, which likely constitutes a larger learning goal.|This emerging approach to teaching and learning emphasises the obtaining of concrete skills over abstract learning. Rather than |The University is trialling new ways of documenting our students' mastery of competencies that supplement the traditional transcript. Competency based learning presents an effective method, leveraging advances in learning management systems and supporting technology to accommodate the students' need for flexible learning content.|Establishing the baseline for competency based learning at the University requires an analytics platform that models the life outcomes of our alumni. We should also ensure that rigorous testing platforms are made available for the delivery of competency based curriculum.|Analytics stream, Ontask.|competency_based_learning.jpg"
"Social Learning|New online collaborative environments are facilitating social learning, encouraging interactions and the exchange of ideas and concepts between students. The cohesion and exposure to new ideas offered by social learning can have a positive influence on the learning experience.|New online collaborative environments are facilitating social learning, encouraging interactions and the exchange of ideas and c|Students engaged in social learning dealing with topics related to their specific field of study are more motivated in their course. Student enthusiasm translate into higher levels of motivation which can in turn have a positive effect on their academic results and the student experience.|The education experience has progressed from students passively reading and watching material to proactively engaging and interacting with each other and their learning facilitators. To continue facilitating social learning across the University, we need to sustain robust online environments that readily impart social tools on students.|Utilisation of YouTube, Facebook or even Twitter in courses to engage students. A stream of Snapchat or Instagram is likely in existence.|social_learning.jpg"
"Non Traditional Learners|An aging Australian population has been identified by the Australian Bureau of Statistics as our nation's biggest change in population over the next 10 years. With continued industry disruption due to innovation and a climbing retirement age, studies project that an increasing number of people will return to tertiary education to upskill or change their career.|An aging Australian population has been identified by the Australian Bureau of Statistics identifies as our nation's biggest cha|These non-traditional students have different expectations and needs from those of school leavers. There will also be less public support and legislative support to finance an educational system designed to service the needs of younger students over the varied needs of a more age-diverse student body.|As this trend unfolds, we need to continually assess our campuses' evolving role as social and educational centers within communities. Furthermore, focusing on increased flexibility in our learning tools (via app-based and online delivery of content) will help non-traditional age students to achieve their learning outcomes.|Enrollment numbers for mature age students, international counts, lower socioeconomic cohorts.|non_traditional_learners.jpg"
"Linked Data|Technology is improving the quality of data through better categorisation, connectivity and integration. This data now enables researchers to explore new questions and data landscapes, and the Australian National Data Services (ANDS) developed an infrastructure for national, cross-disciplinary visibility and discoverability of datasets.|Technology is improving the quality of data through better categorisation, connectivity and integration. This data now enables r|Cross-disciplinary collaborations provide the diversity of understanding required to solve complex problems, but barriers to cohort discovery exist due to content and data still being locked in disparate sources. However, the University is positioned to take advantage of its interdisciplinary research centers to collaborate and explore new questions.|Harnessing linked data requires that we retain research data, provide secure storage, identify ownership and ensure its security and confidentiality. Through continued improvement to the University's Research Data Store, we can continue delivering rich data tools and allowing stronger data discovery between peers, research centers and organisations.|RDS, RDMP and some of our big stuff.|linked_data.jpg"
"Collaborative Science Infrastructure|A new National Collaborative Research Infrastructure Strategy (NCRIS) encapsulates the Australian government's support for research infrastructure and its aim to encourage collaboration between the research, industry and government sectors to conduct world-class research.|A new National Collaborative Research Infrastructure Strategy (NCRIS) encapsulates the Australian government's support for resea|The NCRIS already supports 26 infrastructure projects ranging from Astronomy to Animal Health to The Heavy Ion Accelerator. Although building and maintaining such research infrastructure is costly, the University can reduce these costs by sharing them between organisations and funding them partially with federal grants.|As more facilities become available to researchers, we will need to take more responsibility to ensure these platforms are accessible and enable excellence in research. We also need to pursue opportunities to lead future infrastructure projects, and partner with faculties to deliver world-leading collaborative science facilities.|Hybrid theatre, AHS collaborations, NCRIS.|science_infrastructure.jpg"
"Digital Preservation of Research Data|Through planning, resource allocation and application of preservation methods and technologies, digital information is becoming accessible and usable by the research community. Unlike its physical counterparts, truly reformatted and ""born-digital"" information is not subject to the challenges of media failure and technological change.|Through planning, resource allocation and application of preservation methods and technologies, digital information is becoming |Information stored on older media (such as punch cards, floppy disks and magnetic tapes) are becoming increasingly difficult to read, owing to challenges around procuring and maintaining their original hardware. Digital preservation efforts offer a number of benefits but still have perceived high ownership costs and a lack of return on investment.|Amidst advances in technology, we need to regularly address the maintenance and viability of legacy storage solutions and the migration of information to emerging media. In collaboration with library services and the museums, ICT needs to take an active role in the preservation of research data.|library stuff, rare books, museums, preservation system.|digital_preservation.jpg"
"Bibliometrics|Through statistical analysis of physical publications such as books or journal articles, bibliometrics have frequently been employed in the field of library and information science, including scientometrics. Recently, bibliometrics have been employed to provide quantitative analysis of academic literature.|Through statistical analysis of physical publications such as books or journal articles, bibliometrics is frequently being emplo|Doing regular searches for citations to a collection's material is an important way to establish impact on the community. When any such quantitative measure is used in decision-making to the exclusion of important qualitative factors, those decisions are vulnerable to dispute. Bibliometric data used primarily to describe and not evaluate can be helpfully revealing.|We need to ensure that platforms exist for the transparent delivery of these bibliometrics, and that they are stored in a way that is accessible and provides sufficient metadata for context. To promote and encourage the qualitative nature of our bibliometrics, ICT should work closely with the library.|No examples.|bibliometrics.jpg"
